run_id,dataset_id,family,is_service,complexity,model,model_short,provider,status,compile_pass,test_pass,latency_ms,latency_sec,failure_type,java_file
run_d346232221f0,petclinic-ownerservice,petclinic,True,servicio,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,error,False,False,0,0.0,error,spring-petclinic/src/main/java/org/springframework/samples/petclinic/service/OwnerService.java
run_84a5a50c9689,petclinic-vetservice,petclinic,True,servicio,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,error,False,False,0,0.0,error,spring-petclinic/src/main/java/org/springframework/samples/petclinic/service/VetService.java
run_e4c33341164d,petclinic-petservice,petclinic,True,servicio,anthropic/claude-3.5-sonnet,claude-3.5-sonnet,openrouter,error,False,False,0,0.0,error,spring-petclinic/src/main/java/org/springframework/samples/petclinic/service/PetService.java
run_268955c61ba7,jwt-userservice,jwt,True,servicio,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,97444,97.444,,spring-boot-3-jwt-security/src/main/java/com/alibou/security/user/UserService.java
run_d40a08d0c532,gsapp-hellocontroller,gsapp,False,simple,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,3829,3.829,,gs-spring-boot/complete/src/main/java/com/example/springboot/HelloController.java
run_0bdb02863e56,jwt-authservice,jwt,True,servicio,anthropic/claude-3.5-sonnet,claude-3.5-sonnet,openrouter,error,False,False,0,0.0,error,spring-boot-3-jwt-security/src/main/java/com/alibou/security/auth/AuthenticationService.java
run_ffd4fc889e8a,petclinic-ownerservice,petclinic,True,servicio,anthropic/claude-3.5-sonnet,claude-3.5-sonnet,openrouter,error,False,False,0,0.0,error,spring-petclinic/src/main/java/org/springframework/samples/petclinic/service/OwnerService.java
run_9f625b96a5f9,gsapp-application,gsapp,False,simple,anthropic/claude-3.5-sonnet,claude-3.5-sonnet,openrouter,error,False,False,0,0.0,error,gs-spring-boot/complete/src/main/java/com/example/springboot/Application.java
run_b95df81d006b,gsapp-hellocontroller,gsapp,False,simple,anthropic/claude-3.5-sonnet,claude-3.5-sonnet,openrouter,error,False,False,0,0.0,error,gs-spring-boot/complete/src/main/java/com/example/springboot/HelloController.java
run_b073a1c80196,petclinic-visitservice,petclinic,True,servicio,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,error,False,False,0,0.0,error,spring-petclinic/src/main/java/org/springframework/samples/petclinic/service/VisitService.java
run_5daebd4b452f,petclinic-petservice,petclinic,True,servicio,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,error,False,False,0,0.0,error,spring-petclinic/src/main/java/org/springframework/samples/petclinic/service/PetService.java
run_358962c7e32a,gsapp-application,gsapp,False,simple,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,6297,6.297,,gs-spring-boot/complete/src/main/java/com/example/springboot/Application.java
run_76ada1c5dd95,jwt-bookservice,jwt,True,servicio,anthropic/claude-3.5-sonnet,claude-3.5-sonnet,openrouter,error,False,False,0,0.0,error,spring-boot-3-jwt-security/src/main/java/com/alibou/security/book/BookService.java
run_7024d7a646f4,jwt-bookservice,jwt,True,servicio,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,157469,157.469,,spring-boot-3-jwt-security/src/main/java/com/alibou/security/book/BookService.java
run_b746356bf1cb,petclinic-vetservice,petclinic,True,servicio,anthropic/claude-3.5-sonnet,claude-3.5-sonnet,openrouter,error,False,False,0,0.0,error,spring-petclinic/src/main/java/org/springframework/samples/petclinic/service/VetService.java
run_11afe0395b5c,petclinic-visitservice,petclinic,True,servicio,anthropic/claude-3.5-sonnet,claude-3.5-sonnet,openrouter,error,False,False,0,0.0,error,spring-petclinic/src/main/java/org/springframework/samples/petclinic/service/VisitService.java
run_8025187c0f94,jwt-authservice,jwt,True,servicio,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,108853,108.853,,spring-boot-3-jwt-security/src/main/java/com/alibou/security/auth/AuthenticationService.java
run_6f620c35d6a5,jwt-userservice,jwt,True,servicio,anthropic/claude-3.5-sonnet,claude-3.5-sonnet,openrouter,error,False,False,0,0.0,error,spring-boot-3-jwt-security/src/main/java/com/alibou/security/user/UserService.java
run_ce50eabb184d,petclinic-vet,petclinic,False,complejo,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,32524,32.524,,spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/Vet.java
run_2119f0e70e9a,petclinic-visit,petclinic,False,complejo,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,31725,31.725,,spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Visit.java
run_a1700b490008,petclinic-owner,petclinic,False,complejo,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,164958,164.958,,spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java
run_700b900f2ac7,petclinic-pet,petclinic,False,complejo,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,145643,145.643,,spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Pet.java
run_a1700b490008,petclinic-owner,petclinic,False,complejo,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,164958,164.958,,spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java
run_700b900f2ac7,petclinic-pet,petclinic,False,complejo,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,145643,145.643,,spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Pet.java
run_ce50eabb184d,petclinic-vet,petclinic,False,complejo,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,32524,32.524,,spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/Vet.java
run_2119f0e70e9a,petclinic-visit,petclinic,False,complejo,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,31725,31.725,,spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Visit.java
run_358962c7e32a,gsapp-application,gsapp,False,simple,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,6297,6.297,,gs-spring-boot/complete/src/main/java/com/example/springboot/Application.java
run_d40a08d0c532,gsapp-hellocontroller,gsapp,False,simple,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,3829,3.829,,gs-spring-boot/complete/src/main/java/com/example/springboot/HelloController.java
run_8025187c0f94,jwt-authservice,jwt,True,servicio,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,108853,108.853,,spring-boot-3-jwt-security/src/main/java/com/alibou/security/auth/AuthenticationService.java
run_7024d7a646f4,jwt-bookservice,jwt,True,servicio,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,157469,157.469,,spring-boot-3-jwt-security/src/main/java/com/alibou/security/book/BookService.java
run_268955c61ba7,jwt-userservice,jwt,True,servicio,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,97444,97.444,,spring-boot-3-jwt-security/src/main/java/com/alibou/security/user/UserService.java
run_a1700b490008,petclinic-owner,petclinic,False,complejo,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,164958,164.958,,spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java
run_700b900f2ac7,petclinic-pet,petclinic,False,complejo,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,145643,145.643,,spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Pet.java
run_ce50eabb184d,petclinic-vet,petclinic,False,complejo,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,32524,32.524,,spring-petclinic/src/main/java/org/springframework/samples/petclinic/vet/Vet.java
run_2119f0e70e9a,petclinic-visit,petclinic,False,complejo,meta/llama-3.1-405b-instruct,llama-3.1-405b-instruct,nvidia,ok,True,True,31725,31.725,,spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Visit.java
